sep=;;;;;;
Dataset;k;accuracy;alpha;weights;individual_accs;time
ionosphere;3;81.722;0.7;[0.774, 0.226, 0.000, 0.000, 0.000, 0.000, 0.000];[0.886, 0.351, 0.854, 0.554, 0.528, 0.528, 0.921];5.952
ionosphere;3;78.361;1;[0.075, 0.341, 0.000, 0.000, 0.000, 0.000, 0.584];[0.885, 0.336, 0.857, 0.547, 0.528, 0.528, 0.912];6.37
ionosphere;3;77.528;0.9;[0.279, 0.293, 0.000, 0.000, 0.000, 0.000, 0.428];[0.891, 0.332, 0.857, 0.547, 0.528, 0.528, 0.912];6.32
ionosphere;3;75.75;0.8;[0.575, 0.295, 0.000, 0.000, 0.000, 0.000, 0.130];[0.880, 0.341, 0.860, 0.548, 0.528, 0.528, 0.902];6.182
ionosphere;3;74.639;1;[0.216, 0.325, 0.000, 0.000, 0.000, 0.000, 0.459];[0.885, 0.336, 0.857, 0.547, 0.528, 0.528, 0.912];6.294
ionosphere;3;74.407;0.1;[0.241, 0.000, 0.052, 0.000, 0.707, 0.000, 0.000];[0.907, 0.337, 0.848, 0.542, 0.450, 0.528, 0.924];5.266
ionosphere;3;72.352;0.6;[0.216, 0.340, 0.000, 0.000, 0.000, 0.000, 0.445];[0.865, 0.361, 0.859, 0.551, 0.528, 0.528, 0.904];5.861
ionosphere;3;70.333;0.5;[0.012, 0.410, 0.000, 0.000, 0.000, 0.000, 0.578];[0.905, 0.340, 0.861, 0.535, 0.528, 0.528, 0.900];5.895
ionosphere;3;69.028;0;[0.000, 0.420, 0.541, 0.000, 0.000, 0.000, 0.039];[0.899, 0.328, 0.859, 0.545, 0.528, 0.552, 0.902];5.864
ionosphere;3;68.139;0.2;[0.000, 0.000, 0.005, 0.000, 0.675, 0.000, 0.319];[0.897, 0.341, 0.835, 0.562, 0.559, 0.511, 0.886];5.128
ionosphere;3;68.065;0.4;[0.252, 0.400, 0.000, 0.000, 0.000, 0.000, 0.348];[0.885, 0.321, 0.867, 0.538, 0.528, 0.528, 0.912];5.852
ionosphere;3;62.139;0.3;[0.000, 0.512, 0.000, 0.000, 0.000, 0.000, 0.488];[0.888, 0.285, 0.859, 0.555, 0.528, 0.528, 0.928];5.449
ionosphere;5;82.296;0.7;[0.607, 0.000, 0.099, 0.000, 0.147, 0.147, 0.000];[0.881, 0.306, 0.867, 0.580, 0.582, 0.582, 0.915];5.743
ionosphere;5;78.944;0.5;[0.027, 0.000, 0.386, 0.000, 0.173, 0.173, 0.242];[0.890, 0.311, 0.871, 0.567, 0.582, 0.582, 0.900];5.875
ionosphere;5;77.833;0.9;[0.262, 0.000, 0.000, 0.000, 0.200, 0.200, 0.339];[0.889, 0.298, 0.859, 0.569, 0.582, 0.582, 0.908];5.659
ionosphere;5;76.935;1;[0.078, 0.000, 0.090, 0.107, 0.140, 0.140, 0.445];[0.869, 0.311, 0.859, 0.569, 0.582, 0.582, 0.908];6.864
ionosphere;5;76.037;0.8;[0.400, 0.000, 0.104, 0.000, 0.190, 0.190, 0.116];[0.880, 0.310, 0.867, 0.567, 0.582, 0.582, 0.908];5.892
ionosphere;5;75.519;1;[0.149, 0.029, 0.000, 0.041, 0.167, 0.167, 0.448];[0.869, 0.311, 0.859, 0.569, 0.582, 0.582, 0.908];7.43
ionosphere;5;74.963;0.3;[0.000, 0.000, 0.112, 0.000, 0.223, 0.223, 0.442];[0.879, 0.240, 0.869, 0.560, 0.582, 0.582, 0.909];5.819
