sep=;
dataset;k;step;acc;weights;best_weights;best_acc
biodegradation;3;1750;71.419;[13, 13, 13, 39, 13, 0, 13];[0, 0, 0, 26, 0, 0, 78];90
biodegradation;5;1800;80.3238;[13, 13, 39, 0, 26, 13, 0];[13, 0, 0, 13, 13, 13, 52];88.019
biodegradation;7;1800;78.419;[13, 13, 39, 0, 26, 13, 0];[0, 0, 26, 13, 13, 0, 52];87.3524
biodegradation;3;1800;83.0286;[13, 13, 39, 0, 26, 13, 0];[0, 0, 0, 26, 0, 0, 78];90
biodegradation;5;1850;68.3524;[13, 26, 0, 13, 0, 26, 26];[13, 0, 0, 13, 13, 13, 52];88.019
biodegradation;7;1850;67.8476;[13, 26, 0, 13, 0, 26, 26];[0, 0, 26, 13, 13, 0, 52];87.3524
biodegradation;3;1850;71.181;[13, 26, 0, 13, 0, 26, 26];[0, 0, 0, 26, 0, 0, 78];90
biodegradation;5;1900;67.9524;[13, 26, 13, 13, 0, 26, 13];[13, 0, 0, 13, 13, 13, 52];88.019
biodegradation;7;1900;67.6476;[13, 26, 13, 13, 0, 26, 13];[0, 0, 26, 13, 13, 0, 52];87.3524
biodegradation;3;1900;70.419;[13, 26, 13, 13, 0, 26, 13];[0, 0, 0, 26, 0, 0, 78];90
biodegradation;5;1950;79.4095;[13, 26, 52, 0, 13, 0, 0];[13, 0, 0, 13, 13, 13, 52];88.019
biodegradation;7;1950;77.0571;[13, 26, 52, 0, 13, 0, 0];[0, 0, 26, 13, 13, 0, 52];87.3524
biodegradation;3;1950;82.8476;[13, 26, 52, 0, 13, 0, 0];[0, 0, 0, 26, 0, 0, 78];90
biodegradation;5;2000;66.2762;[13, 39, 13, 13, 0, 26, 0];[13, 0, 0, 13, 13, 13, 52];88.019
biodegradation;7;2000;66.2762;[13, 39, 13, 13, 0, 26, 0];[0, 0, 26, 13, 13, 0, 52];87.3524
biodegradation;3;2000;66.2762;[13, 39, 13, 13, 0, 26, 0];[0, 0, 0, 26, 0, 0, 78];90
biodegradation;5;2050;66.2857;[13, 52, 13, 13, 0, 13, 0];[13, 0, 0, 13, 13, 13, 52];88.019
biodegradation;7;2050;66.2857;[13, 52, 13, 13, 0, 13, 0];[0, 0, 26, 13, 13, 0, 52];87.3524
biodegradation;3;2050;66.2857;[13, 52, 13, 13, 0, 13, 0];[0, 0, 0, 26, 0, 0, 78];90
biodegradation;5;2100;66.2286;[26, 0, 0, 0, 39, 39, 0];[13, 0, 0, 13, 13, 13, 52];88.019
biodegradation;7;2100;66.2286;[26, 0, 0, 0, 39, 39, 0];[0, 0, 26, 13, 13, 0, 52];87.3524
biodegradation;3;2100;66.2286;[26, 0, 0, 0, 39, 39, 0];[0, 0, 0, 26, 0, 0, 78];90
biodegradation;7;2108;87.3619;[26, 0, 0, 13, 0, 13, 52];[26, 0, 0, 13, 0, 13, 52];87.3619
