------------------------------------------------------------------
 dataset  k  step    acc   weights   best_weights     best_acc    
------------------------------------------------------------------
wdbc  5  700    97.0179   [0, 13, 26, 0, 0, 13, 52]   [0, 0, 13, 13, 13, 39, 26]     97.3036
wdbc  3  950    96.8214   [0, 26, 13, 26, 13, 13, 13]   [0, 0, 13, 13, 13, 39, 26]     98.5
wdbc  7  950    96.125   [0, 26, 13, 26, 13, 13, 13]   [0, 0, 0, 13, 26, 26, 39]     96.5714
wdbc  3  1000    97.1964   [0, 26, 39, 0, 0, 0, 39]   [0, 0, 13, 13, 13, 39, 26]     98.5
wdbc  7  1000    93.9107   [0, 26, 39, 0, 0, 0, 39]   [0, 0, 0, 13, 26, 26, 39]     96.5714
wdbc  5  750    95.6071   [0, 13, 26, 39, 26, 0, 0]   [0, 0, 13, 13, 13, 39, 26]     97.3036
wdbc  3  1050    98.125   [0, 39, 0, 0, 39, 0, 26]   [0, 0, 13, 13, 13, 39, 26]     98.5
wdbc  7  1050    95.8571   [0, 39, 0, 0, 39, 0, 26]   [0, 0, 0, 13, 26, 26, 39]     96.5714
wdbc  3  1100    98.0714   [0, 39, 13, 0, 26, 0, 26]   [0, 0, 13, 13, 13, 39, 26]     98.5
wdbc  7  1100    95.7321   [0, 39, 13, 0, 26, 0, 26]   [0, 0, 0, 13, 26, 26, 39]     96.5714
wdbc  5  800    94.3571   [0, 13, 52, 13, 0, 0, 26]   [0, 0, 13, 13, 13, 39, 26]     97.3036
wdbc  3  1150    96.8929   [0, 39, 39, 0, 13, 13, 0]   [0, 0, 13, 13, 13, 39, 26]     98.5
wdbc  7  1150    93.5   [0, 39, 39, 0, 13, 13, 0]   [0, 0, 0, 13, 26, 26, 39]     96.5714
