sep=;
dataset;k;step;acc;weights;best_weights;best_acc
vehicle;7;1400;73.7381;[13, 0, 0, 65, 13, 0, 13];[0, 13, 39, 0, 13, 0, 39];79.1667
vehicle;3;1900;81.9405;[13, 26, 13, 13, 0, 26, 13];[13, 0, 39, 0, 13, 0, 39];83.4881
vehicle;5;1400;77.5238;[13, 0, 0, 65, 13, 0, 13];[0, 26, 26, 0, 13, 0, 39];80.1071
vehicle;7;1450;78.3929;[13, 0, 13, 13, 39, 0, 26];[0, 13, 39, 0, 13, 0, 39];79.1667
vehicle;5;1450;77.9048;[13, 0, 13, 13, 39, 0, 26];[0, 26, 26, 0, 13, 0, 39];80.1071
vehicle;3;1950;81.4643;[13, 26, 52, 0, 13, 0, 0];[13, 0, 39, 0, 13, 0, 39];83.4881
vehicle;7;1498;79.25;[13, 0, 26, 0, 13, 13, 39];[13, 0, 26, 0, 13, 13, 39];79.25
vehicle;7;1500;76.9405;[13, 0, 26, 0, 13, 39, 13];[13, 0, 26, 0, 13, 13, 39];79.25
vehicle;5;1500;79.4762;[13, 0, 26, 0, 13, 39, 13];[0, 26, 26, 0, 13, 0, 39];80.1071
vehicle;3;2000;76.5595;[13, 39, 13, 13, 0, 26, 0];[13, 0, 39, 0, 13, 0, 39];83.4881
vehicle;7;1550;75.131;[13, 0, 39, 0, 0, 39, 13];[13, 0, 26, 0, 13, 13, 39];79.25
vehicle;5;1550;77.9881;[13, 0, 39, 0, 0, 39, 13];[0, 26, 26, 0, 13, 0, 39];80.1071
vehicle;3;2050;76.5952;[13, 52, 13, 13, 0, 13, 0];[13, 0, 39, 0, 13, 0, 39];83.4881
vehicle;7;1600;75.1667;[13, 0, 52, 26, 13, 0, 0];[13, 0, 26, 0, 13, 13, 39];79.25
vehicle;5;1600;77.9881;[13, 0, 52, 26, 13, 0, 0];[0, 26, 26, 0, 13, 0, 39];80.1071
vehicle;3;2100;78.5595;[26, 0, 0, 0, 39, 39, 0];[13, 0, 39, 0, 13, 0, 39];83.4881
vehicle;7;1650;25.3333;[13, 13, 0, 13, 0, 65, 0];[13, 0, 26, 0, 13, 13, 39];79.25
vehicle;5;1650;25.3333;[13, 13, 0, 13, 0, 65, 0];[0, 26, 26, 0, 13, 0, 39];80.1071
vehicle;3;2150;81.2976;[26, 0, 0, 39, 26, 0, 13];[13, 0, 39, 0, 13, 0, 39];83.4881
vehicle;7;1700;25.7857;[13, 13, 0, 78, 0, 0, 0];[13, 0, 26, 0, 13, 13, 39];79.25
vehicle;5;1700;25.7857;[13, 13, 0, 78, 0, 0, 0];[0, 26, 26, 0, 13, 0, 39];80.1071
vehicle;3;2200;82.131;[26, 0, 13, 26, 0, 13, 26];[13, 0, 39, 0, 13, 0, 39];83.4881
vehicle;3;2250;81.9881;[26, 0, 26, 39, 0, 0, 13];[13, 0, 39, 0, 13, 0, 39];83.4881
vehicle;7;1750;77.1429;[13, 13, 13, 39, 13, 0, 13];[13, 0, 26, 0, 13, 13, 39];79.25
vehicle;5;1750;78.0952;[13, 13, 13, 39, 13, 0, 13];[0, 26, 26, 0, 13, 0, 39];80.1071
vehicle;3;2300;81.6905;[26, 13, 0, 0, 26, 0, 39];[13, 0, 39, 0, 13, 0, 39];83.4881
vehicle;7;1800;75.2976;[13, 13, 39, 0, 26, 13, 0];[13, 0, 26, 0, 13, 13, 39];79.25
vehicle;5;1800;77.7381;[13, 13, 39, 0, 26, 13, 0];[0, 26, 26, 0, 13, 0, 39];80.1071
vehicle;3;2350;82.2857;[26, 13, 13, 0, 13, 0, 39];[13, 0, 39, 0, 13, 0, 39];83.4881
vehicle;7;1850;77.8929;[13, 26, 0, 13, 0, 26, 26];[13, 0, 26, 0, 13, 13, 39];79.25
vehicle;5;1850;79.8095;[13, 26, 0, 13, 0, 26, 26];[0, 26, 26, 0, 13, 0, 39];80.1071
vehicle;3;2400;82.3452;[26, 13, 39, 0, 0, 0, 26];[13, 0, 39, 0, 13, 0, 39];83.4881
vehicle;7;1900;77.0714;[13, 26, 13, 13, 0, 26, 13];[13, 0, 26, 0, 13, 13, 39];79.25
vehicle;5;1900;79.3571;[13, 26, 13, 13, 0, 26, 13];[0, 26, 26, 0, 13, 0, 39];80.1071
vehicle;3;2450;81;[26, 26, 13, 0, 0, 0, 39];[13, 0, 39, 0, 13, 0, 39];83.4881
vehicle;7;1950;75.1905;[13, 26, 52, 0, 13, 0, 0];[13, 0, 26, 0, 13, 13, 39];79.25
vehicle;5;1950;78;[13, 26, 52, 0, 13, 0, 0];[0, 26, 26, 0, 13, 0, 39];80.1071
vehicle;3;2500;78.2738;[26, 39, 0, 13, 26, 0, 0];[13, 0, 39, 0, 13, 0, 39];83.4881
vehicle;7;2000;70.9405;[13, 39, 13, 13, 0, 26, 0];[13, 0, 26, 0, 13, 13, 39];79.25
vehicle;3;2550;79.8095;[39, 0, 0, 0, 13, 39, 13];[13, 0, 39, 0, 13, 0, 39];83.4881
vehicle;5;2000;72.9167;[13, 39, 13, 13, 0, 26, 0];[0, 26, 26, 0, 13, 0, 39];80.1071
vehicle;3;2600;79.881;[39, 0, 13, 0, 0, 39, 13];[13, 0, 39, 0, 13, 0, 39];83.4881
vehicle;7;2050;70.9286;[13, 52, 13, 13, 0, 13, 0];[13, 0, 26, 0, 13, 13, 39];79.25
vehicle;5;2050;73.4167;[13, 52, 13, 13, 0, 13, 0];[0, 26, 26, 0, 13, 0, 39];80.1071
vehicle;7;2100;74.4048;[26, 0, 0, 0, 39, 39, 0];[13, 0, 26, 0, 13, 13, 39];79.25
vehicle;3;2650;81.25;[39, 0, 26, 26, 13, 0, 0];[13, 0, 39, 0, 13, 0, 39];83.4881
vehicle;5;2100;74.0952;[26, 0, 0, 0, 39, 39, 0];[0, 26, 26, 0, 13, 0, 39];80.1071
vehicle;7;2150;77.3452;[26, 0, 0, 39, 26, 0, 13];[13, 0, 26, 0, 13, 13, 39];79.25
vehicle;3;2700;79.6548;[39, 13, 0, 39, 13, 0, 0];[13, 0, 39, 0, 13, 0, 39];83.4881
vehicle;5;2150;77.1548;[26, 0, 0, 39, 26, 0, 13];[0, 26, 26, 0, 13, 0, 39];80.1071
vehicle;7;2200;77.3214;[26, 0, 13, 26, 0, 13, 26];[13, 0, 26, 0, 13, 13, 39];79.25
vehicle;5;2200;79.631;[26, 0, 13, 26, 0, 13, 26];[0, 26, 26, 0, 13, 0, 39];80.1071
vehicle;3;2750;79.7381;[39, 26, 0, 13, 13, 0, 13];[13, 0, 39, 0, 13, 0, 39];83.4881
vehicle;7;2250;75.4762;[26, 0, 26, 39, 0, 0, 13];[13, 0, 26, 0, 13, 13, 39];79.25
vehicle;5;2250;78;[26, 0, 26, 39, 0, 0, 13];[0, 26, 26, 0, 13, 0, 39];80.1071
vehicle;3;2800;79.7024;[52, 0, 0, 0, 13, 26, 13];[13, 0, 39, 0, 13, 0, 39];83.4881
vehicle;7;2300;78.7143;[26, 13, 0, 0, 26, 0, 39];[13, 0, 26, 0, 13, 13, 39];79.25
vehicle;5;2300;78.119;[26, 13, 0, 0, 26, 0, 39];[0, 26, 26, 0, 13, 0, 39];80.1071
vehicle;3;2850;79.6071;[52, 0, 26, 0, 0, 26, 0];[13, 0, 39, 0, 13, 0, 39];83.4881
vehicle;3;2900;79.631;[52, 26, 0, 0, 0, 26, 0];[13, 0, 39, 0, 13, 0, 39];83.4881
vehicle;7;2350;78.8095;[26, 13, 13, 0, 13, 0, 39];[13, 0, 26, 0, 13, 13, 39];79.25
vehicle;5;2350;79.2976;[26, 13, 13, 0, 13, 0, 39];[0, 26, 26, 0, 13, 0, 39];80.1071
vehicle;3;2950;79.6548;[65, 0, 26, 0, 0, 13, 0];[13, 0, 39, 0, 13, 0, 39];83.4881
vehicle;7;2400;75.8214;[26, 13, 39, 0, 0, 0, 26];[13, 0, 26, 0, 13, 13, 39];79.25
vehicle;3;3000;79.619;[91, 0, 13, 0, 0, 0, 0];[13, 0, 39, 0, 13, 0, 39];83.4881
vehicle;5;2400;79.0119;[26, 13, 39, 0, 0, 0, 26];[0, 26, 26, 0, 13, 0, 39];80.1071
vehicle;7;2450;77.6548;[26, 26, 13, 0, 0, 0, 39];[13, 0, 26, 0, 13, 13, 39];79.25
vehicle;5;2450;79.5595;[26, 26, 13, 0, 0, 0, 39];[0, 26, 26, 0, 13, 0, 39];80.1071
vehicle;7;2500;73.6667;[26, 39, 0, 13, 26, 0, 0];[13, 0, 26, 0, 13, 13, 39];79.25
vehicle;5;2500;75.7619;[26, 39, 0, 13, 26, 0, 0];[0, 26, 26, 0, 13, 0, 39];80.1071
vehicle;7;2550;75.8929;[39, 0, 0, 0, 13, 39, 13];[13, 0, 26, 0, 13, 13, 39];79.25
vehicle;5;2550;77.9167;[39, 0, 0, 0, 13, 39, 13];[0, 26, 26, 0, 13, 0, 39];80.1071
vehicle;7;2600;74.9762;[39, 0, 13, 0, 0, 39, 13];[13, 0, 26, 0, 13, 13, 39];79.25
vehicle;5;2600;77.6548;[39, 0, 13, 0, 0, 39, 13];[0, 26, 26, 0, 13, 0, 39];80.1071
vehicle;7;2650;75.4405;[39, 0, 26, 26, 13, 0, 0];[13, 0, 26, 0, 13, 13, 39];79.25
vehicle;5;2650;78.0952;[39, 0, 26, 26, 13, 0, 0];[0, 26, 26, 0, 13, 0, 39];80.1071
vehicle;7;2700;73.869;[39, 13, 0, 39, 13, 0, 0];[13, 0, 26, 0, 13, 13, 39];79.25
vehicle;5;2700;76.7976;[39, 13, 0, 39, 13, 0, 0];[0, 26, 26, 0, 13, 0, 39];80.1071
vehicle;7;2750;73.8929;[39, 26, 0, 13, 13, 0, 13];[13, 0, 26, 0, 13, 13, 39];79.25
vehicle;5;2750;76.881;[39, 26, 0, 13, 13, 0, 13];[0, 26, 26, 0, 13, 0, 39];80.1071
vehicle;7;2800;73.8571;[52, 0, 0, 0, 13, 26, 13];[13, 0, 26, 0, 13, 13, 39];79.25
vehicle;5;2800;76.8571;[52, 0, 0, 0, 13, 26, 13];[0, 26, 26, 0, 13, 0, 39];80.1071
vehicle;7;2850;73.881;[52, 0, 26, 0, 0, 26, 0];[13, 0, 26, 0, 13, 13, 39];79.25
vehicle;5;2850;76.7857;[52, 0, 26, 0, 0, 26, 0];[0, 26, 26, 0, 13, 0, 39];80.1071
vehicle;7;2900;73.8214;[52, 26, 0, 0, 0, 26, 0];[13, 0, 26, 0, 13, 13, 39];79.25
vehicle;5;2900;76.7738;[52, 26, 0, 0, 0, 26, 0];[0, 26, 26, 0, 13, 0, 39];80.1071
vehicle;7;2950;73.8333;[65, 0, 26, 0, 0, 13, 0];[13, 0, 26, 0, 13, 13, 39];79.25
vehicle;5;2950;76.7857;[65, 0, 26, 0, 0, 13, 0];[0, 26, 26, 0, 13, 0, 39];80.1071
vehicle;7;3000;73.869;[91, 0, 13, 0, 0, 0, 0];[13, 0, 26, 0, 13, 13, 39];79.25
vehicle;5;3000;76.7738;[91, 0, 13, 0, 0, 0, 0];[0, 26, 26, 0, 13, 0, 39];80.1071
