sep=;
dataset;k;step;acc;weights;best_weights;best_acc
pima;7;1600;76.9605;[13, 0, 52, 26, 13, 0, 0];[13, 0, 26, 26, 13, 0, 26];82.8947
pima;3;1600;78.1579;[13, 0, 52, 26, 13, 0, 0];[13, 0, 39, 13, 0, 0, 39];85.7368
pima;5;1600;77.3421;[13, 0, 52, 26, 13, 0, 0];[13, 0, 39, 13, 0, 0, 39];84.4474
pima;7;1650;50.3158;[13, 13, 0, 13, 0, 65, 0];[13, 0, 26, 26, 13, 0, 26];82.8947
pima;3;1650;36.1053;[13, 13, 0, 13, 0, 65, 0];[13, 0, 39, 13, 0, 0, 39];85.7368
pima;5;1650;50.3158;[13, 13, 0, 13, 0, 65, 0];[13, 0, 39, 13, 0, 0, 39];84.4474
pima;7;1700;34.9079;[13, 13, 0, 78, 0, 0, 0];[13, 0, 26, 26, 13, 0, 26];82.8947
pima;3;1700;51.9079;[13, 13, 0, 78, 0, 0, 0];[13, 0, 39, 13, 0, 0, 39];85.7368
pima;5;1700;35.0526;[13, 13, 0, 78, 0, 0, 0];[13, 0, 39, 13, 0, 0, 39];84.4474
pima;7;1750;82.0395;[13, 13, 13, 39, 13, 0, 13];[13, 0, 26, 26, 13, 0, 26];82.8947
pima;3;1750;79.5526;[13, 13, 13, 39, 13, 0, 13];[13, 0, 39, 13, 0, 0, 39];85.7368
pima;5;1750;83.4474;[13, 13, 13, 39, 13, 0, 13];[13, 0, 39, 13, 0, 0, 39];84.4474
pima;7;1800;78.5132;[13, 13, 39, 0, 26, 13, 0];[13, 0, 26, 26, 13, 0, 26];82.8947
pima;7;1850;80.2895;[13, 26, 0, 13, 0, 26, 26];[13, 0, 26, 26, 13, 0, 26];82.8947
pima;3;1800;79.6974;[13, 13, 39, 0, 26, 13, 0];[13, 0, 39, 13, 0, 0, 39];85.7368
pima;5;1800;78.5789;[13, 13, 39, 0, 26, 13, 0];[13, 0, 39, 13, 0, 0, 39];84.4474
pima;3;1850;62.4079;[13, 26, 0, 13, 0, 26, 26];[13, 0, 39, 13, 0, 0, 39];85.7368
pima;7;1900;78.8158;[13, 26, 13, 13, 0, 26, 13];[13, 0, 26, 26, 13, 0, 26];82.8947
pima;5;1850;81.1184;[13, 26, 0, 13, 0, 26, 26];[13, 0, 39, 13, 0, 0, 39];84.4474
pima;7;1950;77.0526;[13, 26, 52, 0, 13, 0, 0];[13, 0, 26, 26, 13, 0, 26];82.8947
pima;3;1900;59.9868;[13, 26, 13, 13, 0, 26, 13];[13, 0, 39, 13, 0, 0, 39];85.7368
pima;5;1900;79.2895;[13, 26, 13, 13, 0, 26, 13];[13, 0, 39, 13, 0, 0, 39];84.4474
pima;7;2000;69.2105;[13, 39, 13, 13, 0, 26, 0];[13, 0, 26, 26, 13, 0, 26];82.8947
pima;7;2050;65.0789;[13, 52, 13, 13, 0, 13, 0];[13, 0, 26, 26, 13, 0, 26];82.8947
pima;3;1950;78.25;[13, 26, 52, 0, 13, 0, 0];[13, 0, 39, 13, 0, 0, 39];85.7368
pima;5;1950;77.4211;[13, 26, 52, 0, 13, 0, 0];[13, 0, 39, 13, 0, 0, 39];84.4474
pima;7;2100;71.5395;[26, 0, 0, 0, 39, 39, 0];[13, 0, 26, 26, 13, 0, 26];82.8947
pima;3;2000;36.1842;[13, 39, 13, 13, 0, 26, 0];[13, 0, 39, 13, 0, 0, 39];85.7368
pima;7;2150;77.3289;[26, 0, 0, 39, 26, 0, 13];[13, 0, 26, 26, 13, 0, 26];82.8947
pima;5;2000;69.7368;[13, 39, 13, 13, 0, 26, 0];[13, 0, 39, 13, 0, 0, 39];84.4474
pima;7;2200;81.8026;[26, 0, 13, 26, 0, 13, 26];[13, 0, 26, 26, 13, 0, 26];82.8947
pima;3;2050;36.1053;[13, 52, 13, 13, 0, 13, 0];[13, 0, 39, 13, 0, 0, 39];85.7368
pima;5;2050;65.0789;[13, 52, 13, 13, 0, 13, 0];[13, 0, 39, 13, 0, 0, 39];84.4474
pima;7;2250;77.3553;[26, 0, 26, 39, 0, 0, 13];[13, 0, 26, 26, 13, 0, 26];82.8947
pima;3;2100;81.3289;[26, 0, 0, 0, 39, 39, 0];[13, 0, 39, 13, 0, 0, 39];85.7368
pima;5;2100;73.25;[26, 0, 0, 0, 39, 39, 0];[13, 0, 39, 13, 0, 0, 39];84.4474
pima;7;2300;79.8026;[26, 13, 0, 0, 26, 0, 39];[13, 0, 26, 26, 13, 0, 26];82.8947
pima;7;2350;81.8947;[26, 13, 13, 0, 13, 0, 39];[13, 0, 26, 26, 13, 0, 26];82.8947
pima;3;2150;80.1184;[26, 0, 0, 39, 26, 0, 13];[13, 0, 39, 13, 0, 0, 39];85.7368
pima;5;2150;77.8421;[26, 0, 0, 39, 26, 0, 13];[13, 0, 39, 13, 0, 0, 39];84.4474
pima;7;2400;82.6579;[26, 13, 39, 0, 0, 0, 26];[13, 0, 26, 26, 13, 0, 26];82.8947
pima;5;2200;83.1053;[26, 0, 13, 26, 0, 13, 26];[13, 0, 39, 13, 0, 0, 39];84.4474
pima;3;2200;84.0395;[26, 0, 13, 26, 0, 13, 26];[13, 0, 39, 13, 0, 0, 39];85.7368
pima;7;2450;80.6579;[26, 26, 13, 0, 0, 0, 39];[13, 0, 26, 26, 13, 0, 26];82.8947
