sep=;
dataset;k;step;acc;weights;best_weights;best_acc
sonar;5;2350;87;[26, 13, 13, 0, 13, 0, 39];[13, 13, 0, 39, 0, 0, 39];87.85
sonar;5;2400;86.5;[26, 13, 39, 0, 0, 0, 26];[13, 13, 0, 39, 0, 0, 39];87.85
sonar;5;2450;87.65;[26, 26, 13, 0, 0, 0, 39];[13, 13, 0, 39, 0, 0, 39];87.85
sonar;5;2500;85.3;[26, 39, 0, 13, 26, 0, 0];[13, 13, 0, 39, 0, 0, 39];87.85
sonar;5;2550;88.15;[39, 0, 0, 0, 13, 39, 13];[39, 0, 0, 0, 13, 39, 13];88.15
sonar;5;2600;86.55;[39, 0, 13, 0, 0, 39, 13];[39, 0, 0, 0, 13, 39, 13];88.15
sonar;5;2650;84.4;[39, 0, 26, 26, 13, 0, 0];[39, 0, 0, 0, 13, 39, 13];88.15
sonar;5;2700;84.85;[39, 13, 0, 39, 13, 0, 0];[39, 0, 0, 0, 13, 39, 13];88.15
sonar;5;2750;86.8;[39, 26, 0, 13, 13, 0, 13];[39, 0, 0, 0, 13, 39, 13];88.15
sonar;5;2800;85.3;[52, 0, 0, 0, 13, 26, 13];[39, 0, 0, 0, 13, 39, 13];88.15
sonar;5;2850;85.15;[52, 0, 26, 0, 0, 26, 0];[39, 0, 0, 0, 13, 39, 13];88.15
sonar;5;2900;85.25;[52, 26, 0, 0, 0, 26, 0];[39, 0, 0, 0, 13, 39, 13];88.15
sonar;5;2950;85.05;[65, 0, 26, 0, 0, 13, 0];[39, 0, 0, 0, 13, 39, 13];88.15
sonar;5;3000;85.3;[91, 0, 13, 0, 0, 0, 0];[39, 0, 0, 0, 13, 39, 13];88.15
